state,gage,param,stat,tsid,notes
PA,01481000,00095,00003,118683,
PA,01481000,00010,00003,118690,
SC,02110704,00095,00003,124432,
SC,02110704,00010,00003,280310,
SC,02110704,00065,00003,124450,start 10/05/1999
SC,02110755,00095,00003,124482,
SC,02110755,00010,00003,124484,
SC,02110760,00095,00003,124508,
SC,02110760,00010,00003,124522,
SC,02110760,00065,00003,124498,
SC,02110770,00095,00003,124525,
SC,02110770,00010,00003,124532,
SC,02110777,00095,00003,124535,
SC,02110777,00010,00003,124541,
SC,02110777,00065,00003,124544,start 08/26/2003
SC,021108125,00095,00003,124597,
SC,021108125,00010,00003,124600,
SC,021108125,00065,00003,124594,
SC,02110815,00095,00003,124626,124609 through 09/29/2005
SC,02110815,00010,00003,124623,124606 through 09/29/2005
SC,02110815,00065,00003,124617,start 01/13/2004
SC,02172020,00095,00003,125849,
SC,02172020,00010,00003,125852,"remove 09/16/1984, 09/18/1984, 12/05/1984"
SC,02172020,00065,00003,125855,start 05/18/1983
SC,02172040,00095,00003,125879
SC,02172040,00010,00003,125882
SC,02172040,00065,00003,125885,start 04/26/2018
SC,02172050,00095,00003,125897,
SC,02172050,00010,00003,125903,
SC,02172050,00065,00003,125906,
SC,02172053,00095,00003,125912,125927 through 09/29/2005
SC,02172053,00010,00003,125915,125924 through 09/29/2005
SC,02172053,00065,00003,125921,125930 through 09/29/2004
SC,021720677,00095,00003,125974,
SC,021720677,00010,00003,125971,
SC,021720677,00065,00003,125968,
SC,021720698,00095,00003,126028,
SC,021720698,00010,00003,126034,
SC,021720698,00065,00003,126037,
SC,021720709,00095,00003,126070,
SC,021720709,00010,00003,126067,
SC,021720709,00065,00003,126064,start 02/09/2007
SC,021720710,00095,00003,126100,
SC,021720710,00010,00003,126106,
SC,021720710,00065,00003,126103,
SC,021989784,00095,00003,34812,
SC,021989784,00010,00003,34815,
SC,021989784,00065,00003,250316,start 10/01/2007
SC,021989791,00095,00003,34841,
SC,021989791,00010,00003,34844,
SC,021989791,00065,00003,250317,
TX,08067252,00095,00003,134083,
TX,08067252,00010,00003,134080,
