X_COORD,Y_COORD
533000,2849400
533400,2849400
533800,2849400
534200,2849400
534600,2849400
535000,2849400
535400,2849400
535800,2849400
536200,2849400
536600,2849400
537000,2849400
537400,2849400
537800,2849400
538200,2849400
538600,2849400
539000,2849400
539400,2849400
539800,2849400
540200,2849400
540600,2849400
541000,2849400
541400,2849400
541800,2849400
542200,2849400
542600,2849400
543000,2849400
543400,2849400
543800,2849400
544200,2849400
544600,2849400
545000,2849400
545400,2849400
545800,2849400
546200,2849400
546600,2849400
547000,2849400
547400,2849400
547800,2849400
548200,2849400
548600,2849400
549000,2849400
549400,2849400
549800,2849400
550200,2849400
550600,2849400
551000,2849400
551400,2849400
533000,2849000
533400,2849000
533800,2849000
534200,2849000
534600,2849000
535000,2849000
535400,2849000
535800,2849000
536200,2849000
536600,2849000
537000,2849000
537400,2849000
537800,2849000
538200,2849000
538600,2849000
539000,2849000
539400,2849000
539800,2849000
540200,2849000
540600,2849000
541000,2849000
541400,2849000
541800,2849000
542200,2849000
542600,2849000
543000,2849000
543400,2849000
543800,2849000
544200,2849000
544600,2849000
545000,2849000
545400,2849000
545800,2849000
546200,2849000
546600,2849000
547000,2849000
547400,2849000
547800,2849000
548200,2849000
548600,2849000
549000,2849000
549400,2849000
549800,2849000
550200,2849000
550600,2849000
551000,2849000
551400,2849000
533000,2848600
533400,2848600
533800,2848600
534200,2848600
534600,2848600
535000,2848600
535400,2848600
535800,2848600
536200,2848600
536600,2848600
537000,2848600
537400,2848600
537800,2848600
538200,2848600
538600,2848600
539000,2848600
539400,2848600
539800,2848600
540200,2848600
540600,2848600
541000,2848600
541400,2848600
541800,2848600
542200,2848600
542600,2848600
543000,2848600
543400,2848600
543800,2848600
544200,2848600
544600,2848600
545000,2848600
545400,2848600
545800,2848600
546200,2848600
546600,2848600
547000,2848600
547400,2848600
547800,2848600
548200,2848600
548600,2848600
549000,2848600
549400,2848600
549800,2848600
550200,2848600
550600,2848600
533000,2848200
533400,2848200
533800,2848200
534200,2848200
534600,2848200
535000,2848200
535400,2848200
535800,2848200
536200,2848200
536600,2848200
537000,2848200
537400,2848200
537800,2848200
538200,2848200
538600,2848200
539000,2848200
539400,2848200
539800,2848200
540200,2848200
540600,2848200
541000,2848200
541400,2848200
541800,2848200
542200,2848200
542600,2848200
543000,2848200
543400,2848200
543800,2848200
544200,2848200
544600,2848200
545000,2848200
545400,2848200
545800,2848200
546200,2848200
546600,2848200
547000,2848200
547400,2848200
547800,2848200
548200,2848200
548600,2848200
549000,2848200
549400,2848200
549800,2848200
550200,2848200
550600,2848200
533000,2847800
533400,2847800
533800,2847800
534200,2847800
534600,2847800
535000,2847800
535400,2847800
535800,2847800
536200,2847800
536600,2847800
537000,2847800
537400,2847800
537800,2847800
538200,2847800
538600,2847800
539000,2847800
539400,2847800
539800,2847800
540200,2847800
540600,2847800
541000,2847800
541400,2847800
541800,2847800
542200,2847800
542600,2847800
543000,2847800
543400,2847800
543800,2847800
544200,2847800
544600,2847800
545000,2847800
545400,2847800
545800,2847800
546200,2847800
546600,2847800
547000,2847800
547400,2847800
547800,2847800
548200,2847800
548600,2847800
549000,2847800
549400,2847800
549800,2847800
550200,2847800
550600,2847800
533000,2847400
533400,2847400
533800,2847400
534200,2847400
534600,2847400
535000,2847400
535400,2847400
535800,2847400
536200,2847400
536600,2847400
537000,2847400
537400,2847400
537800,2847400
538200,2847400
538600,2847400
539000,2847400
539400,2847400
539800,2847400
540200,2847400
540600,2847400
541000,2847400
541400,2847400
541800,2847400
542200,2847400
542600,2847400
543000,2847400
543400,2847400
543800,2847400
544200,2847400
544600,2847400
545000,2847400
545400,2847400
545800,2847400
546200,2847400
546600,2847400
547000,2847400
547400,2847400
547800,2847400
548200,2847400
548600,2847400
549000,2847400
549400,2847400
549800,2847400
550200,2847400
550600,2847400
533000,2847000
533400,2847000
533800,2847000
534200,2847000
534600,2847000
535000,2847000
535400,2847000
535800,2847000
536200,2847000
536600,2847000
537000,2847000
537400,2847000
537800,2847000
538200,2847000
538600,2847000
539000,2847000
539400,2847000
539800,2847000
540200,2847000
540600,2847000
541000,2847000
541400,2847000
541800,2847000
542200,2847000
542600,2847000
543000,2847000
543400,2847000
543800,2847000
544200,2847000
544600,2847000
545000,2847000
545400,2847000
545800,2847000
546200,2847000
546600,2847000
547000,2847000
547400,2847000
547800,2847000
548200,2847000
548600,2847000
549000,2847000
549400,2847000
549800,2847000
550200,2847000
550600,2847000
533000,2846600
533400,2846600
533800,2846600
534200,2846600
534600,2846600
535000,2846600
535400,2846600
535800,2846600
536200,2846600
536600,2846600
537000,2846600
537400,2846600
537800,2846600
538200,2846600
538600,2846600
539000,2846600
539400,2846600
539800,2846600
540200,2846600
540600,2846600
541000,2846600
541400,2846600
541800,2846600
542200,2846600
542600,2846600
543000,2846600
543400,2846600
543800,2846600
544200,2846600
544600,2846600
545000,2846600
545400,2846600
545800,2846600
546200,2846600
546600,2846600
547000,2846600
547400,2846600
547800,2846600
548200,2846600
548600,2846600
549000,2846600
549400,2846600
549800,2846600
550200,2846600
550600,2846600
533000,2846200
533400,2846200
533800,2846200
534200,2846200
534600,2846200
535000,2846200
535400,2846200
535800,2846200
536200,2846200
536600,2846200
537000,2846200
537400,2846200
537800,2846200
538200,2846200
538600,2846200
539000,2846200
539400,2846200
539800,2846200
540200,2846200
540600,2846200
541000,2846200
541400,2846200
541800,2846200
542200,2846200
542600,2846200
543000,2846200
543400,2846200
543800,2846200
544200,2846200
