X_COORD,Y_COORD
555400,2882200
555800,2882200
554600,2881800
555000,2881800
555400,2881800
555800,2881800
553400,2881400
553800,2881400
554200,2881400
554600,2881400
555000,2881400
555400,2881400
555800,2881400
552600,2881000
553000,2881000
553400,2881000
553800,2881000
554200,2881000
554600,2881000
555000,2881000
555400,2881000
555800,2881000
551800,2880600
552200,2880600
552600,2880600
553000,2880600
553400,2880600
553800,2880600
554200,2880600
554600,2880600
555000,2880600
555400,2880600
555800,2880600
551800,2880200
552200,2880200
552600,2880200
553000,2880200
553400,2880200
553800,2880200
554200,2880200
554600,2880200
555000,2880200
555400,2880200
555800,2880200
551400,2879800
551800,2879800
552200,2879800
552600,2879800
553000,2879800
553400,2879800
553800,2879800
554200,2879800
554600,2879800
555000,2879800
555400,2879800
555800,2879800
551000,2879400
551400,2879400
551800,2879400
552200,2879400
552600,2879400
553000,2879400
553400,2879400
553800,2879400
554200,2879400
554600,2879400
555000,2879400
555400,2879400
555800,2879400
551000,2879000
551400,2879000
551800,2879000
552200,2879000
552600,2879000
553000,2879000
553400,2879000
553800,2879000
554200,2879000
554600,2879000
555000,2879000
555400,2879000
555800,2879000
550600,2878600
551000,2878600
551400,2878600
551800,2878600
552200,2878600
552600,2878600
553000,2878600
553400,2878600
553800,2878600
554200,2878600
554600,2878600
555000,2878600
555400,2878600
555800,2878600
550200,2878200
550600,2878200
551000,2878200
551400,2878200
551800,2878200
552200,2878200
552600,2878200
553000,2878200
553400,2878200
553800,2878200
554200,2878200
554600,2878200
555000,2878200
555400,2878200
555800,2878200
550200,2877800
550600,2877800
551000,2877800
551400,2877800
551800,2877800
552200,2877800
552600,2877800
553000,2877800
553400,2877800
553800,2877800
554200,2877800
554600,2877800
555000,2877800
555400,2877800
555800,2877800
549800,2877400
550200,2877400
550600,2877400
551000,2877400
551400,2877400
551800,2877400
552200,2877400
552600,2877400
553000,2877400
553400,2877400
553800,2877400
554200,2877400
554600,2877400
555000,2877400
555400,2877400
555800,2877400
549400,2877000
549800,2877000
550200,2877000
550600,2877000
551000,2877000
551400,2877000
551800,2877000
552200,2877000
552600,2877000
553000,2877000
553400,2877000
553800,2877000
554200,2877000
554600,2877000
555000,2877000
555400,2877000
555800,2877000
556200,2877000
549400,2876600
549800,2876600
550200,2876600
550600,2876600
551000,2876600
551400,2876600
551800,2876600
552200,2876600
552600,2876600
553000,2876600
553400,2876600
553800,2876600
554200,2876600
554600,2876600
555000,2876600
555400,2876600
555800,2876600
556200,2876600
549000,2876200
549400,2876200
549800,2876200
550200,2876200
550600,2876200
551000,2876200
551400,2876200
551800,2876200
552200,2876200
552600,2876200
